卷章名,領域,標題,勉勵,經文
14歷代志下第01章,信仰,天父賜下智慧回應你的需要,你是否面對一個超過自己能力的任務，心裡充滿不安？所羅門剛登基，面對龐大的責任，他沒有先求財富或權力，而是求智慧，因為他在乎的是「如何服事這群人」。天父被這個動機感動了，不但賜他智慧，還把他沒求的也一併賜給。天父看重的不是你的能力，而是你的動機。今天，當你帶著「為了服事他人」的心來到神面前，你會發現，祂所給的，往往超過你所想所求的。,你既有這心意……只求智慧聰明好判斷我的民；我必賜你智慧聰明，也必賜你資財、豐富、尊榮。《歷代志下1:11-12》
14歷代志下第02章,服事,天父看顧你的事奉心意,你是否曾問過自己：我為神所做的事，真的有意義嗎？所羅門在動工之前就清楚地說：「神不需要我的建殿，天和天上的天都不夠祂住，何況我造的殿？」然而他仍然全力投入，因為這是他在神面前的敬拜回應。天父不需要你做得完美，祂看重的是你那顆願意回應祂的心。無論你的服事看起來多麼微小，那都是你在神面前的「燒香」，祂必珍視。,天和天上的天，尚且不足他居住的，誰能為他建造殿宇呢？……不過在他面前燒香而已。《歷代志下2:6》
14歷代志下第03章,信仰,天父紀念你每一個信靠的腳蹤,你是否知道，神的工作從不是偶然開始的？聖殿建在摩利亞山，那是亞伯拉罕獻以撒的地方，是大衛求赦免的地方。神揀選這個地方，是要讓每一個走進聖殿的人，都能想起：這裡有一段信靠與被接納的歷史。天父同樣紀念你每一個信靠祂的時刻，每一次你選擇相信祂的應許。這些不會消失，它們都成為你與神之間故事的一部分。,所羅門就在耶路撒冷、耶和華向他父大衛顯現的摩利亞山上……開工建造耶和華的殿。《歷代志下3:1》
14歷代志下第04章,服事,天父看重你在祂面前的預備,你是否認為，正式事奉神之前的「準備工作」不那麼重要？聖殿裡的銅海，是專門為祭司在事奉前潔淨自己所設的。神精心設計了這個環節，提醒我們：帶著潔淨的心事奉，比帶著熱情但不潔的心更蒙悅納。天父看重你在事奉前的預備——那靜下來禱告的片刻、那願意對齊心靈的選擇。不要輕看預備，因為天父在其中等候你。,又製造十個盆……獻燔祭所用之物都洗在其內；但海是為祭司沐浴的。《歷代志下4:6》
14歷代志下第05章,敬拜,天父回應你合一的讚美,你是否曾在敬拜中感受到一種超越言語的同在？聖殿奉獻那天，吹號的和歌唱的「聲合為一」，神的榮光就充滿了殿，連祭司都無法站立。那不是偶然的，那是合一的讚美所帶出的結果。天父渴望在你的讚美中相遇。當你願意放下自我、與身邊的弟兄姊妹合一敬拜，那份祂的同在就近在咫尺。今天，讓你的心再次對準那一句：「他的慈愛永遠長存！」,應當稱謝耶和華；因他本為善，他的慈愛永遠長存！《歷代志下5:13》
14歷代志下第06章,禱告,天父垂聽你在任何處境中的呼求,你是否有時覺得，自己的處境太特殊、太複雜，神可能不明白？所羅門的禱告涵蓋了七種截然不同的困境——從個人糾紛到戰敗被擄，甚至外邦人的禱告。神一一垂聽。天父不是只在「標準情況」下才聆聽的神，祂在你一切的處境中都張開耳朵。無論你現在正在經歷什麼，你都可以在神面前誠實地說出來。祂垂聽，也必回應。,論到不屬你民以色列的外邦人……從遠方而來，向這殿禱告，求你從天上你的居所垂聽，照著外邦人所祈求的而行。《歷代志下6:32-33》
14歷代志下第07章,悔改,天父等候你自卑回轉的心,你是否曾在某段低谷中，感到與神之間似乎有了距離？神在這裡給了一條清晰的路：「自卑、禱告、尋求我的面、轉離惡行。」不是四個複雜的條件，而是四個方向，告訴我們如何重新走回到神的懷抱。天父不是在遠處等你表現完美，祂在等你轉身。只要你願意低下頭、開口求，祂的應許是真實的：「我必從天上垂聽，赦免他們的罪，醫治他們的地。」,這稱為我名下的子民，若是自卑、禱告，尋求我的面，轉離他們的惡行，我必從天上垂聽，赦免他們的罪，醫治他們的地。《歷代志下7:14》
14歷代志下第08章,品格,天父看顧你對神聖事物的尊重,你是否有過一種感受：某些事「在原則上可以」，但心裡總覺得哪裡不對？所羅門安排法老之女的住處，理由很簡單：「約櫃所到之處都為聖地。」他不是因為律法規定，而是出於內心對神聖潔的自發尊重。天父看重這樣的心——那些不是被規定逼出來、而是因為愛神而自然湧現的界線與尊重。在你的生活中，也有這樣的時刻，讓那份對神的敬畏引導你。,所羅門說：「耶和華約櫃所到之處都為聖地，所以我的妻不可住在以色列王大衛的宮裏。」《歷代志下8:11》
14歷代志下第09章,見證,天父賜給你的榮耀是最有力的見證,你是否曾懷疑，自己的信仰是否真的能讓外人看見神的真實？示巴女王帶著懷疑從遠方而來，親眼見了所羅門的智慧與榮耀，最後開口讚美的不是所羅門，而是他的神：「耶和華你的神是應當稱頌的！」真實活在神面前的生命，本身就是最有力的見證。天父透過你所蒙的恩、所活出的生命，讓身旁的人看見祂。你不需要刻意說服任何人，只需要真實地活。,耶和華你的神是應當稱頌的！他喜悅你，使你坐他的國位，為耶和華你的神作王。《歷代志下9:8》
14歷代志下第10章,領袖,天父不喜悅你用權威傷害你的家人,你是否曾以為，擁有權力或資源就代表可以不顧他人感受？羅波安有十八萬大軍、有王位、有資源，但他忽視了最基本的事：百姓需要的是一個願意聆聽、願意服事他們的王。他選擇了展示力量，結果失去了十個支派。天父呼召我們的領袖職分，是服事，不是主宰。無論在家庭、職場，你對身邊的人說的話、回應的方式，都在塑造你們之間的關係。,老年人對他說：「王若恩待這民，使他們喜悅，用好話回覆他們，他們就永遠作王的僕人。」《歷代志下10:7》
