章標題,背景簡介,核心屬靈意涵,重點經文_1,思想題目_1,重點經文_2,思想題目_2,重點經文_3,思想題目_3,卷章名,,,,,,
神創造天地與人類,"創世記第1章是整本聖經的開端,記載神用六日創造天地萬物的過程。這是一首莊嚴的創造詩篇,以重複的結構呈現神有序的創造:神說、事就成了、神看著是好的。六日的創造從混沌到秩序,從無生命到有生命,從低等到高等,最後在第六日創造人類,將神的形像賜給人,並賦予管理全地的使命。本章不是科學教科書,而是神學性的宣告:萬有的創造者是獨一的真神,祂以話語創造,顯明祂的全能和主權。人是按神形像所造,擁有特殊的尊榮和責任,要代表神治理受造界。","1. 神藉話語創造萬有彰顯祂的全能
神說「要有光」就有了光,神說話萬有就成就。創造不是神與混沌搏鬥的結果,而是祂話語權柄的彰顯。這位創造主掌管一切,祂的話語帶著能力,說有就有,命立就立。這也是我們信心的根基:神既能從無造有,就能在我們看似無望的處境中創造新的可能,祂的應許必定成就。
2. 人按神的形像受造擁有獨特尊榮
在所有受造物中,唯有人是按神的形像和樣式所造。這使人擁有理性、道德、靈性和創造力,能與神建立關係,反映神的屬性。人的價值不在於成就或外表,而在於神的形像。每個人都有神聖的尊嚴,值得尊重和愛護。同時,這形像也提醒我們要活出神的性情,彰顯祂的榮耀。
3. 神賦予人管理受造界的使命和責任
神創造人後,賜福給他們,要他們生養眾多、遍滿地面、治理全地、管理萬物。這是神給人的文化使命,要人作祂的代表管理受造界。管理不是剝削,而是負責任的治理,像神一樣愛護、保護、發展受造物。我們在工作、家庭、社會中的職責,都是在履行這神聖的託付。","起初,神創造天地。(創1:1)","你相信萬有都是神創造的嗎?就像看到精美建築就知道有設計師,你能在大自然中看見創造主的智慧嗎?",神說:我們要照著我們的形像、按著我們的樣式造人。(創1:26),"你是否看重自己和他人的神聖價值?就像名畫因畫家而珍貴,你知道每個人都按神形像而造,都有無比尊榮嗎?","神就賜福給他們,又對他們說:要生養眾多,遍滿地面,治理這地,也要管理海裡的魚、空中的鳥,和地上各樣行動的活物。(創1:28)","你如何看待你的工作和責任?就像管家要為主人管理產業,你知道工作是神給你的神聖使命嗎?",01創世記第01章,,,,,,
神設立伊甸園與造女人,"創世記第2章從另一個角度補充第1章的創造記載,聚焦在人的受造和伊甸園的設立。神在第七日歇了一切的工,安息了,並定這日為聖日,成為後來安息日的根據。本章詳細描述神用地上塵土造人,將生氣吹入使人成為有靈的活人,並在伊甸園安置人,賦予他修理看守的責任。神設立一條誡命:園中果子可隨意吃,唯獨分別善惡樹的果子不可吃。神看人獨居不好,為他造配偶,用亞當的肋骨造夏娃,建立婚姻的神聖制度。本章強調人與神、人與工作、人與配偶的關係,奠定人類生活的基本架構。","1. 神設立安息日要人與祂同享安息
神在第七日歇了一切的工,安息了,並賜福給這日,定為聖日。神不是因疲倦需要休息,而是為人設立安息的典範。安息日不只是停止工作,更是與神親近、享受祂同在的時間。在忙碌的生活中,我們需要定期停下來,記念神的創造和救贖,恢復與神的關係,這是神賜給我們的恩典和命令。
2. 順服神的命令是人蒙福的關鍵
神給人完全的自由:園中各樣果子可隨意吃,但有一個界限:分別善惡樹的果子不可吃。這不是神的苛刻,而是愛的保護和信任的考驗。順服神的命令是人得生命的路,悖逆帶來死亡。神的誡命不是限制我們的自由,而是保護我們的生命,使我們在正確的界限內享受真正的自由和祝福。
3. 婚姻是神設立的神聖盟約
神說人獨居不好,為他造配偶幫助他。女人從男人身上取出,二人成為一體,這建立了婚姻的神聖性和一夫一妻的原則。婚姻不是人的發明,而是神的設計,要人離開父母,與配偶連合,成為生命共同體。夫妻應彼此相愛、互相幫助、彼此忠誠,這是神給婚姻的美好心意。","到第七日,神造物的工已經完畢,就在第七日歇了他一切的工,安息了。神賜福給第七日,定為聖日。(創2:2-3)","你的生活中有安息的時間嗎?就像手機需要充電才能繼續使用,你有定期停下來與神親近、恢復心靈嗎?","園中各樣樹上的果子,你可以隨意吃,只是分別善惡樹上的果子,你不可吃,因為你吃的日子必定死!(創2:16-17)","你如何看待神的界限和命令?就像紅綠燈是保護而非限制,你知道神的誡命是為了保護你的生命嗎?","因此,人要離開父母,與妻子連合,二人成為一體。(創2:24)","你是否尊重婚姻的神聖性?就像合約需要雙方信守承諾,你知道婚姻是神設立要一生一世的盟約嗎?",01創世記第02章,,,,,,
人類墮落與神的救贖應許,"創世記第3章記載人類歷史上最悲慘的事件:人的墮落。蛇(撒但的化身)引誘夏娃懷疑神的良善,質疑神的話語,誘使她吃了禁果。亞當也跟著吃了,二人違背神的命令,罪就進入世界。他們的眼睛明亮了,卻發現自己赤身露體,開始有羞耻感,並躲避神。神追問他們,他們開始推卸責任。神宣告審判:蛇受咒詛,女人生產受苦,男人勞苦工作,地受咒詛長出荊棘。但在審判中,神也應許救贖:女人的後裔要傷蛇的頭,預言基督將敗壞撒但。神用皮衣遮蓋他們,象徵神的救贖。人被趕出伊甸園,失去與神親密的關係,但救贖的盼望已經種下。","1. 罪的本質是懷疑神的良善和違背神的話
蛇引誘夏娃的策略是質疑神的良善:神是在限制你們,不讓你們像祂一樣。罪的開始總是懷疑神的心意,不相信神的話語是真實可靠的,想要自己作主決定善惡。今天撒但仍用同樣的謊言攻擊我們,使我們懷疑神是否真的愛我們,祂的命令是否真的為我們好。抵擋試探的關鍵是堅信神的良善和祂話語的真實。
2. 罪帶來羞恥隔絕與死亡的後果
吃了禁果後,亞當夏娃立刻感到羞恥,想要遮蓋自己,躲避神。罪破壞了人與神的關係,帶來羞恥感和隔絕感。他們不再能坦然來到神面前,失去了伊甸園的福分,勞苦愁煩進入生活,死亡成為必然。罪的工價就是死,不只是肉體的死亡,更是靈性的死亡,與神隔絕。罪的後果遠超過我們的想像。
3. 神在審判中已預備救贖的盼望
雖然神審判了罪,卻也應許女人的後裔要傷蛇的頭,這是聖經第一個福音的應許,預言基督將擊敗撒但。神為亞當夏娃做皮衣,意味著有動物流血犧牲,預表基督的救贖。神沒有放棄人類,在審判中已開始救贖計劃。即使在最黑暗的時刻,神的恩典仍然存在,為人預備出路。",蛇對女人說:神豈是真說不許你們吃園中所有樹上的果子嗎?(創3:1),"你是否容易懷疑神的話語和良善?就像聽信謠言就懷疑真相,你會因環境或他人的話而質疑神嗎?","於是女人見那棵樹的果子好作食物,也悅人的眼目,且是可喜愛的,能使人有智慧,就摘下果子來吃了。(創3:6)","你是否因為眼目的情慾而犯罪?就像看到打折就衝動購物,你能抵擋看似美好卻違背神心意的誘惑嗎?",我又要叫你和女人彼此為仇;你的後裔和女人的後裔也彼此為仇。女人的後裔要傷你的頭。(創3:15),"你是否知道基督已經勝過撒但?就像疫苗已經研發出來就不用怕疾病,你知道耶穌已為你得勝,你可以靠祂勝過罪嗎?",01創世記第03章,,,,,,
該隱殺亞伯與人類文明發展,"創世記第4章記載人類歷史上第一起謀殺案。該隱和亞伯向神獻祭,神看中亞伯的供物卻看不中該隱的供物。該隱因嫉妒發怒,雖然神警告他要制伏罪,他仍殺了弟弟亞伯。神審問該隱,宣告咒詛:地不再為他效力,他要流離飄蕩。該隱離開神的面,建立城市,他的後代發展出畜牧、音樂、冶金等文明,但也越來越暴力,拉麥誇耀報復殺人。與該隱的後代對比,神為亞當夏娃立塞特代替亞伯,塞特的後代開始求告神的名。本章顯示罪如何迅速擴散,人類文明的發展與道德的墮落並存,但神仍保守敬虔的後裔。","1. 神看重的是獻祭者的心而非祭物本身
神看中亞伯和他的供物,卻看不中該隱和他的供物。問題不在於祭物的種類,而在於獻祭者的心。亞伯憑信心獻上頭生的和脂油,是最好的部分;該隱只是拿地裡的出產,沒有用心。神看內心,不看外表。我們事奉神、奉獻給神,重要的不是數量多少,而是是否出於真誠的愛和信心。
2. 罪像野獸伏在門前要制伏它
神警告該隱:罪就伏在門前,它戀慕你,你卻要制伏它。罪不會自動消失,而是像野獸等待機會吞吃我們。面對試探和怒氣,我們必須主動制伏,不能任由它掌控。該隱沒有聽從神的警告,讓怒氣和嫉妒控制他,最終犯下謀殺罪。我們要警醒,在罪還小的時候就制伏它,不要等它長大吞噬我們。
3. 離開神的面帶來文明卻無真正平安
該隱離開神的面,建造城市,他的後代發展出畜牧、音樂、冶金等文明成就,但同時也越來越暴力和驕傲。物質文明的進步不能取代與神的關係,離開神的生命再輝煌也是空虛的。相反,塞特的後代開始求告神的名,雖然聖經沒記載他們的文明成就,但他們與神同行,這才是真正的祝福。",亞伯也將他羊群中頭生的和羊的脂油獻上。耶和華看中了亞伯和他的供物。(創4:4),"你獻給神的是最好的還是剩餘的?就像用剩菜招待貴賓很失禮,你是否將最好的時間、金錢、才幹獻給神?","你若行得不好,罪就伏在門前。它必戀慕你,你卻要制伏它。(創4:7)","你是否主動制伏罪的試探?就像看到垃圾食物要主動避開,你會在罪還小的時候就對付它,還是讓它越長越大?","於是該隱離開耶和華的面,去住在伊甸東邊挪得之地。(創4:16)","你是否因犯罪而遠離神?就像做錯事就躲避父母,你知道離開神的面會失去真正的平安嗎?",01創世記第04章,,,,,,
從亞當到挪亞的家譜,"創世記第5章記載從亞當到挪亞十代的家譜,是塞特敬虔後裔的譜系。本章以重複的模式呈現:某某活到多少歲,生了某某,之後又活了多少年,生兒養女,共活了多少歲就死了。這單調的重複突顯一個事實:罪的工價就是死,每個人最終都要面對死亡。但在這死亡的名單中,有兩個亮點:以諾與神同行三百年,神將他取去,他就不在世了,沒有經歷死亡;挪亞被稱為安慰,預示他將帶來拯救。本章強調生命的短暫和死亡的必然,但也顯示與神同行的人有不同的結局,為後面的洪水敘事鋪路。","1. 罪的工價就是死亡人人都要面對
本章最顯著的特徵是重複出現「就死了」這三個字。無論活了多久,無論多麼長壽,最終的結局都是死亡。這是罪帶來的後果,從亞當開始,死亡成為人類的宿命。沒有人能靠自己逃避死亡,這提醒我們生命的短暫和脆弱,也指向我們需要神的救贖,因為唯有神能勝過死亡,賜給我們永生。
2. 與神同行的人有超越死亡的盼望
在一連串「就死了」的記載中,以諾是唯一的例外。他與神同行三百年,神將他取去,他就不在世了。以諾沒有經歷死亡,被神直接接到天上,這顯示與神同行的人有不同的命運。與神同行不只是宗教活動,而是日常生活中與神親密的關係,這樣的生命有永恆的價值,能超越死亡的限制。
3. 每一代都要承擔傳承信仰的責任
從亞當到挪亞十代人,每一代都生兒養女,將生命和信仰傳承下去。雖然世界充滿罪惡,但神保守敬虔的後裔,使他們延續到挪亞,成為洪水後重建世界的根基。我們也有責任將信仰傳給下一代,不只是生物學上的繁衍,更重要的是屬靈生命的傳承,使神的名被代代稱頌。",亞當共活了九百三十歲就死了。(創5:5),"你是否認真思考過生命的有限?就像手機電量終會用盡,你知道死亡是每個人的必然結局,你預備好了嗎?","以諾與神同行,神將他取去,他就不在世了。(創5:24)","你的生活是否與神同行?就像與朋友同行需要溝通互動,你每天有與神親密交通、讓祂參與你的生活嗎?","給他起名叫挪亞,說:這個兒子必為我們的操作和手中的勞苦安慰我們。(創5:29)","你是否成為別人的安慰和祝福?就像好醫生能帶來醫治和盼望,你的存在能為周圍的人帶來安慰嗎?",01創世記第05章,,,,,,
世界敗壞與神吩咐造方舟,"創世記第6章描述人類道德的全面崩潰和神對罪惡的審判。人在地上多起來,罪惡也增多,神的兒子們與人的女子交合,世界在神面前敗壞,地上滿了強暴。人終日所思想的盡都是惡,神看見後心中憂傷,決定用洪水毀滅世界。但在這普遍的敗壞中,挪亞是個例外,他是義人、完全人,與神同行,在神眼前蒙恩。神吩咐挪亞造方舟,並詳細指示方舟的尺寸和構造,要挪亞帶家人和各樣動物進入方舟,以逃避將來的洪水。挪亞順服神的吩咐,照樣行了。本章顯示神對罪的忿怒和審判,也顯示神對義人的保守和拯救。","1. 神必審判罪惡但也為義人預備拯救
當世界充滿罪惡和強暴,神不會永遠容忍,祂的審判必然臨到。神用洪水毀滅世界,顯示祂是公義的神,必追討罪惡。但神也為義人預備拯救的方法,吩咐挪亞造方舟。方舟預表基督,是神為人預備的救恩。神的審判和救恩並存,祂恨惡罪卻愛罪人,為相信祂的人預備逃避忿怒的道路。
2. 在敗壞的世代仍要堅持與神同行
當整個世代都敗壞時,挪亞仍然是義人、完全人,與神同行。他沒有隨波逐流,沒有被環境影響,堅持走神喜悅的道路。在罪惡充斥的世界中,我們也要像挪亞一樣,不被世界同化,堅守信仰,與神保持親密的關係。即使全世界都墮落,我們仍要選擇義路,因為神看顧與祂同行的人。
3. 順服神的吩咐是蒙拯救的關鍵
神吩咐挪亞造方舟,並詳細指示如何建造。挪亞完全順服,凡神所吩咐的都照樣行了。這種絕對的順服使他全家得救。造方舟看似愚昧,因為當時從未下過雨,但挪亞憑信心順服。我們也要學習這樣的順服,即使神的吩咐看似不合理,仍要相信神的智慧高過我們,完全照祂的話行。","耶和華見人在地上罪惡很大,終日所思想的盡都是惡。(創6:5)","你的思想被什麼充滿?就像手機滑什麼內容會影響思想,你每天所思所想是親近神還是遠離神?","挪亞是個義人,在當時的世代是個完全人。挪亞與神同行。(創6:9)","在敗壞的環境中,你能持守信仰嗎?就像泥沼中的蓮花依然潔淨,你能在罪惡的世代中堅持與神同行嗎?","挪亞就這樣行。凡神所吩咐的,他都照樣行了。(創6:22)","你對神的順服是否完全?就像食譜要完全照做才能成功,你是否完全按照神的話去行,還是挑自己喜歡的做?",01創世記第06章,,,,,,
洪水氾濫淹沒全地,"創世記第7章記載洪水的來臨和方舟的拯救。神吩咐挪亞帶全家和各種動物進入方舟,潔淨的動物七公七母,不潔淨的一公一母。挪亞遵從神的吩咐,在神指定的時間進入方舟,神親自把他關在裡面。洪水開始降下,四十晝夜大雨傾盆,大淵的泉源裂開,天上的窗戶敞開,水勢極其浩大,淹沒了天下所有的高山。凡在旱地上有氣息的生靈都死了,只有挪亞和與他同在方舟裡的得以存活。水勢在地上共持續一百五十天。本章詳細記載神的審判如何臨到,但同時也顯明神如何保守那些聽從祂話語的人。","1. 神的審判必定按時臨到不容妥協
神說再過七天就要降雨,果然洪水準時來到。神的話語信實可靠,祂的審判不會延遲,也不會取消。挪亞傳義道一百二十年,世人不聽,最終審判臨到,再無機會悔改。今天神也給世人恩典的時間,但審判的日子必定來到。我們不可輕忽神的警告,要趁著還有今日,回轉歸向神,免得後悔莫及。
2. 進入方舟是得救的唯一途徑
洪水來臨時,唯一得救的方法就是進入方舟。沒有其他選擇,沒有第二條路。方舟預表基督,基督是唯一的救恩之門。神親自把挪亞關在方舟裡,表示救恩的安全和確定。我們也要進入基督裡,與祂聯合,才能逃避將來的忿怒。在基督以外,沒有拯救,沒有第二個方舟。
3. 與義人同在方舟裡就蒙保守
挪亞的全家和所有動物都因進入方舟而得救。他們不一定都像挪亞那樣義,但因與挪亞同在方舟裡就蒙保守。這顯示一人的信心可以庇護全家。我們的信仰不只影響自己,也影響家人。我們要像挪亞一樣,帶領全家進入神的救恩,使他們與我們一同蒙福。","你和你的全家都要進入方舟;因為在這世代中,我見你在我面前是義人。(創7:1)","你是否帶領全家人認識神?就像救生艇要全家一起上,你有為家人的得救禱告和努力嗎?",挪亞就遵著耶和華所吩咐的行了。(創7:5),"你對神的順服是立即的嗎?就像火警響起要馬上疏散,你聽到神的話會立刻行動還是拖延?","凡有血肉進入方舟的,都是有公有母,正如神所吩咐挪亞的。耶和華就把他關在方舟裡頭。(創7:16)","你是否確信在基督裡的安全?就像保險箱上鎖後就很安全,你知道神親自保守在基督裡的人嗎?",01創世記第07章,,,,,,
洪水退去與挪亞獻祭,"創世記第8章記載洪水的消退和新世界的開始。神記念挪亞,叫風吹地,使水漸退。挪亞在方舟中耐心等候,先後放出烏鴉和鴿子探測水情。鴿子第一次找不到落腳之地回來,第二次叼著橄欖葉回來,第三次就不再回來,表示地已經乾了。神吩咐挪亞出方舟,挪亞全家和所有動物都出來了。挪亞做的第一件事就是為神築壇獻祭,感謝神的拯救。神悅納挪亞的獻祭,應許不再用洪水毀滅地,並保證自然律永不停息。本章顯示神的信實記念、挪亞的耐心等候,以及感恩的重要性。","1. 神記念祂的子民並信守承諾
神記念挪亞和方舟裡的一切,叫風吹地,使水退去。神沒有忘記在方舟中的挪亞,祂按自己的時間拯救他們出來。我們在苦難中可能覺得被遺忘,但神從不忘記祂的兒女。祂記念我們的處境,必在適當的時候施行拯救。神的應許永不落空,祂的記念帶來盼望和拯救。
2. 在等候中要有耐心和信心
挪亞在方舟中等候了一年多,他耐心等候神的時間,不急躁行動。他放鴿子三次,逐步確認地的情況,直到神吩咐才出方舟。我們也要學習在神的時間表中等候,不憑眼見,不靠感覺,完全信靠神的帶領。等候不是被動,而是主動信靠,相信神的時間是最好的。
3. 蒙拯救後當立即獻上感恩
挪亞出方舟後做的第一件事就是築壇獻祭,感謝神的拯救。他沒有先顧及自己的需要,而是優先敬拜神。神悅納這馨香的祭,應許不再毀滅地。感恩是蒙福之人應有的回應,我們從神領受恩典,當立即獻上感謝和敬拜,這是討神喜悅的。","神記念挪亞和挪亞方舟裡的一切走獸牲畜。神叫風吹地,水勢漸落。(創8:1)","當你在困境中,相信神記念你嗎?就像父母不會忘記孩子,你知道神從未忘記你的處境嗎?","他又等了七天,再把鴿子從方舟放出去。(創8:10)","你能耐心等候神的時間嗎?就像種子發芽需要時間,你會因等候太久而失去信心,還是持續相信神?","挪亞為耶和華築了一座壇,拿各類潔淨的牲畜、飛鳥獻在壇上為燔祭。(創8:20)","當神拯救你後,你會立即感恩嗎?就像病好了就忘記感謝醫生,你是否在蒙福後仍記得獻上感恩?",01創世記第08章,,,,,,
神與挪亞立約與彩虹記號,"創世記第9章記載神與挪亞立約,重新賜福人類。神吩咐挪亞和他兒子要生養眾多,遍滿全地,並賜給他們治理萬物的權柄,允許他們吃動物的肉,但不可吃帶血的肉,也不可殺人,因為人是按神形像造的。神與挪亞立永約,應許不再用洪水毀滅地,並以彩虹為記號。每當雲彩中出現彩虹,就提醒神記念祂的約。本章後半記載挪亞醉酒,含不尊重父親,閃和雅弗卻尊榮父親。挪亞醒後咒詛迦南(含的兒子),祝福閃和雅弗。挪亞又活了三百五十年才去世。本章強調神的信實、人生命的尊嚴,以及尊榮父母的重要。","1. 神的約是恩典的保證和信實的記號
神主動與挪亞和所有活物立永約,應許不再用洪水毀滅地,並以彩虹為記號。這約完全是神的恩典,不是因為人配得,而是因為神的憐憫。彩虹提醒我們神是守約施慈愛的神,祂的應許永不改變。每次看見彩虹,就當記念神的信實和祂對受造界的保守。神在基督裡與我們立的新約也是如此可靠。
2. 人的生命神聖不可侵犯因有神的形像
神嚴禁殺人,因為人是按神的形像造的。流人血的,他的血也必被人所流,這建立了公義審判的原則。每個人的生命都有神聖的尊嚴和價值,不可任意傷害或殺害。這也是死刑的聖經根據。我們要尊重每個人的生命,因為他們都帶著神的形像,有永恆的價值。
3. 尊榮父母是蒙福咒詛他們必受懲罰
含不尊重父親,反而羞辱他,結果他的兒子迦南受咒詛。閃和雅弗尊榮父親,遮蓋他的羞恥,結果蒙福。這顯示孝敬父母的重要性,是神所定的誡命。我們要尊榮父母,遮蓋他們的軟弱,而非暴露和嘲笑。尊榮父母帶來祝福,輕慢父母招致咒詛。","我與你們立約,凡有血肉的,不再被洪水滅絕,也不再有洪水毀壞地了。我把虹放在雲彩中,這就可作我與地立約的記號了。(創9:11,13)","你是否相信神的應許永不改變?就像合約簽訂就有法律效力,你知道神說的話必定成就嗎?","凡流人血的,他的血也必被人所流,因為神造人是照自己的形像造的。(創9:6)","你是否尊重每個人的生命?就像名畫因畫家而珍貴,你知道每個人都按神形像造,生命神聖不可侵犯嗎?","於是閃和雅弗拿件衣服搭在肩上,倒退著進去,給他父親蓋上;他們背著臉就看不見父親的赤身。(創9:23)","你如何對待父母的軟弱和過失?就像好子女會保護父母的尊嚴,你會遮蓋還是暴露父母的缺點?",01創世記第09章,,,,,,
萬族源流與神主權,"創世記第10章記載了洪水之後挪亞三個兒子的後裔譜系,被稱為「萬國表」。本章詳細列出從閃、含、雅弗所繁衍的各族各邦,說明了洪水後人類如何重新遍滿全地。這份族譜不僅是歷史記錄,更顯明神對萬族的主權與計劃,為後續亞伯拉罕的揀選與救恩歷史奠定基礎。特別提到寧錄建立巴別等城,預示了人類文明的發展與神救贖計劃的展開。","1. 神對萬族的主權
本章詳盡記載各族各國的源頭,顯明神掌管人類歷史的進程。每個民族的興起、分散、居住地都在神的計劃之中,沒有任何國家或民族是偶然存在的。
2. 救恩歷史的預備
族譜中特別記載閃的後裔,因為彌賽亞將從閃的支系而出。神在萬族中揀選一族,不是偏心,而是要透過這一族將救恩帶給萬族,顯明神對全人類的愛。
3. 多元合一的心意
各族各方言各邦國的存在,顯明神喜悅多元的豐富性,但神的心意是要在基督裡將萬族合而為一,成為屬神的子民,彰顯神國度的榮耀。","這些都是挪亞三個兒子的宗族,各隨他們的支派立國。洪水以後,他們在地上分為邦國。(創10:32)","就像一棵大樹從種子長成,枝葉繁茂卻都連於同一根源,你是否認識到所有人類都源於神的創造,每個民族國家的存在都在神的主權計劃中?","雅弗的哥哥閃,是希伯子孫之祖,他也生了兒子。(創10:21)","就像在眾多選項中標記出關鍵項目,神特別標註閃的後裔,你能否看見神在萬族中揀選的心意,是要將救恩帶給全人類?","這些人的後裔將各國的地土、海島分開居住,各隨各的方言、宗族立國。(創10:5)","就像交響樂團中不同樂器各有獨特音色卻共譜樂章,面對不同文化、語言、種族的多元性,你是否明白這是神創造的豐富,而非分裂的藉口,最終要在基督裡合一?",01創世記第10章,,,,,,
